"","curve_ID","species_ID","study_ID","habitat_water","given_trait_name","Trait.Group","Trait.motivation","organization","test_temp","n_unique_temps","response_value","response_unit","curve_type","response_sample_type","raw_response_type","cohort_ID","individual_ID","sex","metric_body_length","mean_body_length","individual_body_length","body_length_units","mean_body_length_error","mean_body_length_error_units","min_body_length","max_body_length","individual_body_mass","mean_body_mass","body_mass_units","mean_body_mass_error","mean_body_mass_upper_error","mean_body_mass_lower_error","mean_body_mass_error_units","body_mass_min","body_mass_max","initial_mean_body_length","initial_mean_body_length_unit","initial_mean_body_length_error","initial_mean_body_length_error_unit","initial_mean_body_mass","initial_mean_body_mass_unit","initial_mean_body_mass_error","initial_mean_body_mass_error_unit","body_mass_type","mean_age","mean_age_unit","mean_age_error","mean_age_error_unit","number_of_fish_per_tank","number_of_observations_on_which_the_reported_mean_and_error_is_calculated","number_of_independent_replicates_of_treatment_temperature..this.will.be.1.if.pseudoreplicated.or.every.tank.was.entered.on.a.separate.line.","notes_about_sample_size_and_replication","percent_survival","percent_survival_error","percent_survival_error_unit","initial_sample_size","final_sample_size","acclim_time_total_days","acclim_time_min_days","acclim_time_max_days","acclim_time_median","post_acclim_exposure_duration","post_acclim_exposure_duration_unit","duration_of_study_days","acclim_time_error","acclim_time_error_unit","acclim_temp","acclim_temp_error","acclim_temp_error_unit","test_temp_error","test_temp_error_unit","temp_units","life_stage_manip","life_stage_tested","experiment_design_notes","treatment_1_type","treatment_1_group","treatment_1_group_units","treatment_1_group_error","treatment_1_group_error_units","treatment_2_type","treatment_2_group","treatment_2_group_units","treatment_2_group_error","treatment_2_group_error_units","response_mode","equation_used","response_error","response_upper_error","response_lower_error","response_error_unit","latitude","longitude","lat_long_units","lat_long_method","collection_site","habitat","habitat_source","land_or_sea","abs_latitude","notes_while_extracting","data_source","fig_file_name","extraction_method","data_type","animal_maintenance_notes","field_or_lab","dataset_type","topt_TF","thermal_min_TF","thermal_max_TF","breadth_TF","increasing_side_TF","decreasing_side_TF"
"1",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",10,4,2.088,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-A",NA,NA,"standard-length",93.6,NA,"mm",6.4,"SD",NA,NA,NA,8.8,"g",1.99,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"11",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"10",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.357",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",10,4,2.792,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-B",NA,NA,"standard-length",97.6,NA,"mm",9.57,"SD",NA,NA,NA,9.39,"g",2.18,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"11",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"10",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.291",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"3",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",13,4,2.43,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-C",NA,NA,"standard-length",91.22,NA,"mm",8.38,"SD",NA,NA,NA,7.82,"g",2.51,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"10",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"13",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.220",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",16,4,2.416,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-D",NA,NA,"standard-length",88.97,NA,"mm",4.7,"SD",NA,NA,NA,7.06,"g",1.45,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"12",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"16",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.364",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"5",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",16,4,2.316,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-E",NA,NA,"standard-length",89.8,NA,"mm",9.18,"SD",NA,NA,NA,7.93,"g",2.63,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"10",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"16",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.209",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"6",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",16,4,2.513,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-F",NA,NA,"standard-length",91.75,NA,"mm",7.02,"SD",NA,NA,NA,8.35,"g",1.68,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"13",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"16",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.217",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"7",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",16,4,2.787,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-G",NA,NA,"standard-length",91.75,NA,"mm",7.02,"SD",NA,NA,NA,8.35,"g",1.68,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"8",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"16",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.244",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"8",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",16,4,3.533,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-H",NA,NA,"standard-length",89.8,NA,"mm",9.18,"SD",NA,NA,NA,9.76,"g",2.27,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"12",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"16",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.221",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",19,4,3.053,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-I",NA,NA,"standard-length",95.76,NA,"mm",7.25,"SD",NA,NA,NA,9.51,"g",2.28,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"9",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"19",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.434",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"10",1,"SP7","1_0008","marine","routine-metabolism","Metabolism","autonomic","internal",19,4,3.549,"mgO2/ (fish*h)","batch-acclim","mean","metabolic-rate","1_0008-J",NA,NA,"standard-length",87.99,NA,"mm",5.45,"SD",NA,NA,NA,6.9,"g",1.57,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,NA,NA,NA,NA,"8",NA,"# of fish per tank not reported nor is any info on replication reported, but sample sizes for each performance metric are reported.",NA,NA,NA,NA,NA,"14",NA,NA,NA,"0","d",NA,NA,NA,"19",NA,NA,NA,NA,"C","juvenile","juvenile","Fish were acclimated to experimental temperatures (10, 13, 16, or 19°C) for two weeks and were not fed 48 h prior to experimentation. Testing in groups was necessary since S. sprattus is a schooling fish. The influence of temperature and activity on metabolic rates was quantified by measuring oxygen uptake. Swimming speed was determined by translating positional data (obtained by automated fish tracking) and calculating the x-y positions from two consecutive immages. The first 1-3 hours of experiments were excluded from further analysis because oxygen uptake of the fish group was possibly affected by elevated levels of stress hormones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.779",NA,NA,"SD",54.4833,10.25,"decimal-degrees","reported","Kiel-Bay-Germany","bay","source","oceanic",54.4833,"Swimming speed min and max were available directly from the paper. Mass data was available in the paper but standard length was in the supplementary spreadsheet.","table","meskendahl_et_al_2019_table1","source","published","Young of the year juvenile S. sprattus were caught in the Kiel Bay by a hand operated dip net. Fish were then transferred to a 700 L tank with aerated seawater to the aquarium facility at the University of Hamburg. The fish were held in large groups at a salinity of 16 psu and a temperature of 16°C for more than twelve months prior to the start of experiments. Fish were fed twice a day with pellet food and once a day with live freshly hatched brine shrimp nauplii. The light rhythm was fixed to 13 hours light : 11 hours dark.","lab","unbounded_increasing",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
